team season day ones twos threes fours fives teampower chance id territory territory_power
43 1 1 1 0 0 0 0 1 1 560 126 1
42 1 1 0 0 0 0 0 0 1 561 127 0
43 1 1 0 1 0 0 0 3 1 562 128 3
32 1 1 0 1 0 0 0 2 0.5714285714285714 563 129 3.5
43 1 1 1 0 0 0 0 1.5 0.42857142857142855 564 129 3.5
29 1 1 0 3 0 0 0 6 0.6 565 130 10
33 1 1 0 1 0 0 0 2 0.2 566 130 10
19 1 1 0 1 0 0 0 2 0.2 567 130 10
43 1 1 0 0 0 0 0 0 0 568 130 10
44 1 1 0 0 0 0 0 0 1 569 131 0
44 1 1 0 0 0 0 0 0 0 570 132 2
22 1 1 0 1 0 0 0 2 1 571 132 2
46 1 1 0 0 0 0 0 0 1 572 1 0
1 1 1 0 0 0 0 0 0 1 573 2 0
1 1 1 0 0 0 0 0 0 0 574 3 1
2 1 1 1 0 0 0 0 1 1 575 3 1
1 1 1 1 0 0 0 0 1.5 0.2727272727272727 576 4 5.5
11 1 1 0 1 0 0 0 2 0.36363636363636365 577 4 5.5
2 1 1 0 1 0 0 0 2 0.36363636363636365 578 4 5.5
1 1 1 2 3 0 0 0 8 0.7272727272727273 579 5 11
2 1 1 0 1 0 0 0 3 0.2727272727272727 580 5 11
2 1 1 0 0 0 0 0 0 0 581 6 9
1 1 1 3 3 0 0 0 9 1 582 6 9
2 1 1 0 0 0 0 0 0 1 583 7 0
32 1 1 0 1 0 0 0 2 0.16 584 8 12.5
3 1 1 1 3 0 0 0 10.5 0.84 585 8 12.5
3 1 1 0 0 0 0 0 0 0 586 9 3
41 1 1 0 1 0 0 0 3 1 587 9 3
27 1 1 0 0 1 0 0 3 0.42857142857142855 588 10 7
3 1 1 0 1 0 0 0 3 0.42857142857142855 589 10 7
1 1 1 1 0 0 0 0 1 0.14285714285714285 590 10 7
4 1 1 0 0 0 0 0 0 0 591 11 2
5 1 1 0 1 0 0 0 2 1 592 11 2
4 1 1 0 0 0 0 0 0 1 593 12 0
4 1 1 0 0 0 0 0 0 1 594 13 0
5 1 1 0 0 0 0 0 0 0 595 14 3
4 1 1 0 0 1 0 0 3 1 596 14 3
5 1 1 0 0 0 0 0 0 1 597 15 0
5 1 1 0 0 0 0 0 0 1 598 16 0
6 1 1 0 0 0 0 0 0 1 599 17 0
6 1 1 0 0 0 0 0 0 1 600 18 0
26 1 1 0 1 0 1 0 6 0.8571428571428571 601 19 7
23 1 1 1 0 0 0 0 1 0.14285714285714285 602 19 7
6 1 1 0 0 0 0 0 0 0 603 19 7
7 1 1 0 0 0 0 0 0 1 604 20 0
7 1 1 0 0 0 0 0 0 1 605 21 0
7 1 1 0 0 0 0 0 0 0 606 22 3
28 1 1 0 0 1 0 0 3 1 607 22 3
